"parameter","value","baseline","improvement"
"base_per_diem",45.5195880490612,60,14.4804119509388
"mileage_rate_1",0.787071175593883,0.45,-0.337071175593883
"mileage_rate_2",0.45114227601327,0.35,-0.10114227601327
"mileage_rate_3",0.200831651920261,0.4,0.199168348079739
"receipt_rate_1",0.399975746217208,0.3,-0.0999757462172077
"receipt_rate_2",0.3045420665708,0.4,0.0954579334292002
"receipt_rate_3",0.436856841815577,0.3,-0.136856841815577
"receipt_rate_4",0.121882355942393,0.15,0.028117644057607
"cluster_mult_0",1.14756663634639,1.05,-0.0975666363463925
"cluster_mult_1",1.11176444876928,0.98,-0.131764448769279
"cluster_mult_2",1.20275399349877,1.03,-0.172753993498771
"cluster_mult_3",1.19116480573546,1.1,-0.0911648057354613
"cluster_mult_4",1.07688362098627,1.08,0.00311637901373252
"cluster_mult_5",1.2140054738624,0.95,-0.264005473862403
"vacation_bonus_mult",1.04678047616035,1.08,0.0332195238396527
"vacation_base_mult",1.07234985943884,1.02,-0.0523498594388365
"five_day_mult",1.08250167328268,1.12,0.0374983267173168
"receipt_threshold_mult",1.19666525936238,1.05,-0.146665259362385
"efficiency_threshold_mult",1.01898035206799,1.1,0.081019647932014
"miles_threshold_mult",1.02133465968143,1.02,-0.00133465968143209
"interaction_coeff",0.000555204802994334,1e-04,-0.000455204802994334
"log_bonus_coeff",5.12776389976777,3.5,-1.62776389976777
"bug_base_bonus",20.6993690179661,20,-0.699369017966092
"bug_multiplier",0.00616844543255866,0.015,0.00883155456744134
